frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
58,21982,57.904965,814225.781028,814055.321210,17.045982,0.000000,814225.781028,814055.321210,17.045982,0.000000,540
59,22361,57.327363,813752.050443,813581.590626,17.045982,0.000000,813752.050443,813581.590626,17.045982,0.000000,544
60,22740,56.755522,813722.824585,813552.364767,17.045982,0.000000,813722.824585,813552.364767,17.045982,0.000000,546
61,23119,56.189386,813599.497009,813429.037191,17.045982,0.000000,813597.125080,813426.665262,17.045982,0.000000,551
62,23498,55.628897,811273.557973,811103.098155,17.045982,0.000000,811226.198547,811055.738729,17.045982,0.000000,555
63,23877,55.073999,810719.210923,810548.751105,17.045982,0.000000,810640.482168,810470.022350,17.045982,0.000000,559
64,24256,54.524635,810235.640809,810065.180991,17.045982,0.000000,810235.640809,810065.180991,17.045982,0.000000,563
65,24635,53.980752,810226.742994,810056.283176,17.045982,0.000000,810023.790619,809853.330802,17.045982,0.000000,568
66,25014,53.442294,809391.051525,809220.591707,17.045982,0.000000,809357.403748,809186.943930,17.045982,0.000000,571
67,25393,53.175083,805763.536728,805593.076910,17.045982,0.000000,805763.536728,805593.076910,17.045982,0.000000,575
68,25772,52.644661,804981.289064,804810.829246,17.045982,0.000000,804981.289064,804810.829246,17.045982,0.000000,578
69,26151,52.119531,804203.378560,804032.918743,17.045982,0.000000,804203.378560,804032.918743,17.045982,0.000000,581
70,26530,51.599638,803138.699921,802968.240103,17.045982,0.000000,803138.699921,802968.240103,17.045982,0.000000,585
71,26909,51.084932,803229.322715,803058.862898,17.045982,0.000000,803138.699921,802968.240103,17.045982,0.000000,586
72,27288,50.575360,802280.053109,802109.593292,17.045982,0.000000,802280.053109,802109.593292,17.045982,0.000000,589
73,27667,50.070871,797960.571483,797790.111665,17.045982,0.000000,797960.571483,797790.111665,17.045982,0.000000,592
74,28046,49.571414,797955.253553,797784.793735,17.045982,0.000000,797955.253553,797784.793735,17.045982,0.000000,593
75,28425,49.076939,797955.253553,797784.793735,17.045982,0.000000,797955.253553,797784.793735,17.045982,0.000000,593
76,28804,48.587396,797256.931617,797086.471799,17.045982,0.000000,797256.931617,797086.471799,17.045982,0.000000,597
77,29183,48.344459,797231.714307,797061.254489,17.045982,0.000000,797231.714307,797061.254489,17.045982,0.000000,602
78,29562,47.862223,796480.567858,796310.108040,17.045982,0.000000,796480.567858,796310.108040,17.045982,0.000000,606
79,30000,47.147874,796480.567858,796310.108040,17.045982,0.000000,796480.567858,796310.108040,17.045982,0.000000,606
